title,category,price,quantity,offerPrice,image,title_en,note_en,title_ru,note_ru,title_zh,note_zh,title_ar,note_ar,note,id
"Gmail.com 1 Year Aged","GMAIL",1,100,,"https://buypvaaccount.com/uploads/sample-image.png","Gmail.com 1 Year Aged","Aged 1–2 years for higher trust and longevity\n• Created using clean residential and mobile IPs\n• Phone verified during creation and later removed\n• Recovery email included\n• Suitable for clean IP environments\n\nDelivery: Email- Password- Recovery Email","Gmail.com 1 год отлежки","• Возраст 1–2 года для высокого доверия и долговечности\n• Создано с использованием чистых резидентных и мобильных IP\n• Подтверждено по телефону при создании, затем номер удален\n• Резервная почта в комплекте\n• Подходит для чистых IP-сред\n\nDelivery: Email- Password- Recovery Email","Gmail.com 1年老号","• 注册时间1-2年，信任度高，使用寿命长\n• 使用纯净的住宅和移动IP创建\n• 创建时经过电话验证，随后已移除\n• 包含辅助邮箱\n• 适用于纯净的IP环境\n\nDelivery: Email- Password- Recovery Email","حساب Gmail.com عمر سنة واحدة","• عمر الحساب من سنة إلى سنتين لضمان الثقة والاستمرارية\n• تم إنشاؤه باستخدام عناوين IP سكنية ومحمولة نظيفة\n• تم التحقق بالهاتف أثناء الإنشاء ثم إزالته لاحقاً\n• يتضمن إيميل استرداد\n• مناسب لبيئات الـ IP النظيفة\n\nDelivery: Email- Password- Recovery Email","Aged 1–2 years for higher trust and longevity\n• Created using clean residential and mobile IPs\n• Phone verified during creation and later removed\n• Recovery email included\n• Suitable for clean IP environments\n\nDelivery: Email- Password- Recovery Email",
"Gmail.com 2 Years Aged","GMAIL",1.3,75,,"https://buypvaaccount.com/uploads/sample-image.png","Gmail.com 2 Years Aged","Accounts aged over 2 years\n• Built with unique, clean IP addresses\n• Phone verification completed and removed\n• Recovery email included\n• Designed for stable, long-term usage\n\nDelivery: Email- Password- Recovery Email","Gmail.com 2 года отлежки","• Аккаунты старше 2 лет\n• Созданы на уникальных чистых IP-адресах\n• Верификация по телефону пройдена и удалена\n• Резервная почта в комплекте\n• Разработано для стабильного и долгосрочного использования","Gmail.com 2年老号","• 账号年龄超过2年\n• 使用唯一、纯净的IP地址建立\n• 电话验证已完成并移除\n• 包含辅助邮箱\n• 专为稳定和长期使用而设计","حساب Gmail.com عمر سنتين","• حسابات يزيد عمرها عن سنتين\n• تم إنشاؤها بعناوين IP فريدة ونظيفة\n• تم إكمال التحقق بالهاتف وإزالته\n• يتضمن إيميل استرداد\n• مصمم للاستخدام المستقر وطويل الأمد\n\nDelivery: Email- Password- Recovery Email","Accounts aged over 2 years\n• Built with unique, clean IP addresses\n• Phone verification completed and removed\n• Recovery email included\n• Designed for stable, long-term usage\n\nDelivery: Email- Password- Recovery Email",
"Outlook.com Premium","EMAIL",0.8,200,0.7,"https://buypvaaccount.com/uploads/outlook-image.png","Outlook.com Premium","Premium Outlook accounts\n• Microsoft verified\n• 2FA ready\n• Business suitable\n\nDelivery: Email- Password","Outlook.com Премиум","• Аккаунты Outlook премиум класса\n• Проверено Microsoft\n• Готово к 2FA\n• Подходит для бизнеса\n\nDelivery: Email- Password","Outlook.com 高级版","• Outlook高级账户\n• Microsoft验证\n• 支持2FA\n• 适合商业用途\n\nDelivery: Email- Password","Outlook.com مميز","• حسابات Outlook مميزة\n• تم التحقق من Microsoft\n• جاهز للمصادقة الثنائية\n• مناسب للأعمال\n\nDelivery: Email- Password","Premium Outlook accounts\n• Microsoft verified\n• 2FA ready\n• Business suitable\n\nDelivery: Email- Password",
"LinkedIn Business Profile","LINKEDIN",2.5,50,,"https://buypvaaccount.com/uploads/linkedin-image.png","LinkedIn Business Profile","Professional LinkedIn profiles\n• Complete profile setup\n• Connection ready\n• Business networking\n\nDelivery: Email- Password- Profile URL","LinkedIn Бизнес Профиль","• Профессиональные профили LinkedIn\n• Полная настройка профиля\n• Готово к подключениям\n• Бизнес нетворкинг\n\nDelivery: Email- Password- Profile URL","LinkedIn 商业资料","• 专业的LinkedIn个人资料\n• 完整的个人资料设置\n• 准备建立联系\n• 商业人脉网络\n\nDelivery: Email- Password- Profile URL","ملف LinkedIn تجاري","• ملفات LinkedIn احترافية\n• إعداد ملف كامل\n• جاهز للتواصل\n• شبكة أعمال\n\nDelivery: Email- Password- Profile URL","Professional LinkedIn profiles\n• Complete profile setup\n• Connection ready\n• Business networking\n\nDelivery: Email- Password- Profile URL",
"Yahoo Mail Basic","EMAIL",0.5,150,,"https://buypvaaccount.com/uploads/yahoo-image.png","Yahoo Mail Basic","Basic Yahoo email accounts\n• Yahoo verified\n• Standard quality\n• General use\n\nDelivery: Email- Password","Yahoo Mail Базовый","• Базовые аккаунты Yahoo\n• Проверено Yahoo\n• Стандартное качество\n• Общего назначения\n\nDelivery: Email- Password","Yahoo Mail 基础版","• Yahoo基础邮箱账户\n• Yahoo验证\n• 标准质量\n• 通用用途\n\nDelivery: Email- Password","Yahoo Mail أساسي","• حسابات Yahoo البريد الأساسية\n• تم التحقق من Yahoo\n• جودة قياسية\n• للاستخدام العام\n\nDelivery: Email- Password","Basic Yahoo email accounts\n• Yahoo verified\n• Standard quality\n• General use\n\nDelivery: Email- Password",
"Instagram Business","SOCIAL",3.0,30,,"https://buypvaaccount.com/uploads/instagram-image.png","Instagram Business","Business Instagram accounts\n• Profile optimized\n• Follower ready\n• Commercial use\n\nDelivery: Username- Password- Email","Instagram Бизнес","• Бизнес аккаунты Instagram\n• Профиль оптимизирован\n• Готов к подписчикам\n• Коммерческое использование\n\nDelivery: Username- Password- Email","Instagram 商业版","• Instagram商业账户\n• 资料已优化\n• 准备获取关注者\n• 商业用途\n\nDelivery: Username- Password- Email","Instagram تجاري","• حسابات Instagram التجارية\n• تم تحسين الملف الشخصي\n• جاهز للمتابعين\n• للاستخدام التجاري\n\nDelivery: Username- Password- Email","Business Instagram accounts\n• Profile optimized\n• Follower ready\n• Commercial use\n\nDelivery: Username- Password- Email",
"Twitter Verified","SOCIAL",4.5,25,,"https://buypvaaccount.com/uploads/twitter-image.png","Twitter Verified","Verified Twitter accounts\n• Blue checkmark\n• Account aged\n• Posting ready\n\nDelivery: Username- Password- Email","Twitter Верифицированный","• Верифицированные аккаунты Twitter\n• Синяя галочка\n• Аккаунт отлежанный\n• Готов к публикациям\n\nDelivery: Username- Password- Email","Twitter 认证版","• Twitter认证账户\n• 蓝色对勾\n• 账户已养号\n• 准备发布内容\n\nDelivery: Username- Password- Email","Twitter موثق","• حسابات Twitter الموثقة\n• علامة التحقق الزرقاء\n• حساب مُسن\n• جاهز للنشر\n\nDelivery: Username- Password- Email","Verified Twitter accounts\n• Blue checkmark\n• Account aged\n• Posting ready\n\nDelivery: Username- Password- Email",
"Discord Nitro","GAMING",5.0,20,,"https://buypvaaccount.com/uploads/discord-image.png","Discord Nitro","Discord Nitro subscriptions\n• Premium features\n• Server boosting\n• Custom emoji\n\nDelivery: Email- Password- Token","Discord Nitro","• Подписки Discord Nitro\n• Премиум функции\n• Усиление серверов\n• Пользовательские эмодзи\n\nDelivery: Email- Password- Token","Discord Nitro","• Discord Nitro订阅\n• 高级功能\n• 服务器增强\n• 自定义表情\n\nDelivery: Email- Password- Token","Discord Nitro","• اشتراكات Discord Nitro\n• ميزات مميزة\n• تعزيز الخادم\n• الرموز التعبيرية المخصصة\n\nDelivery: Email- Password- Token","Discord Nitro subscriptions\n• Premium features\n• Server boosting\n• Custom emoji\n\nDelivery: Email- Password- Token",
"Spotify Premium","MUSIC",2.0,40,,"https://buypvaaccount.com/uploads/spotify-image.png","Spotify Premium","Premium Spotify accounts\n• Ad-free listening\n• Offline downloads\n• High quality audio\n\nDelivery: Email- Password","Spotify Премиум","• Премиум аккаунты Spotify\n• Прослушивание без рекламы\n• Загрузки оффлайн\n• Высокое качество звука\n\nDelivery: Email- Password","Spotify 高级版","• Spotify高级账户\n• 无广告收听\n• 离线下载\n• 高质量音频\n\nDelivery: Email- Password","Spotify مميز","• حسابات Spotify المميزة\n• الاستماع بدون إعلانات\n• التنزيلات دون اتصال\n• صوت عالي الجودة\n\nDelivery: Email- Password","Premium Spotify accounts\n• Ad-free listening\n• Offline downloads\n• High quality audio\n\nDelivery: Email- Password"</content>
<parameter name="filePath">C:\Users\Khan Saheb On\Project Work\BuyPvaAccount\bulk_products_excel_template.csv
